"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 30 05:08:41 UTC 2024","Sat Mar 30 05:11:11 UTC 2024","150345","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Mar 30 03:47:55 UTC 2024","Sat Mar 30 03:47:57 UTC 2024","1676","","6. Company Account","","","","6. Review Review Page",""
"passed","Sat Mar 30 05:05:56 UTC 2024","Sat Mar 30 05:05:58 UTC 2024","1757","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Mar 30 03:40:14 UTC 2024","Sat Mar 30 03:40:18 UTC 2024","4254","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sat Mar 30 03:41:21 UTC 2024","Sat Mar 30 03:41:22 UTC 2024","1763","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sat Mar 30 06:06:02 UTC 2024","Sat Mar 30 06:06:17 UTC 2024","14811","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sat Mar 30 03:11:58 UTC 2024","Sat Mar 30 03:12:06 UTC 2024","7487","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sat Mar 30 03:45:10 UTC 2024","Sat Mar 30 03:45:12 UTC 2024","2802","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Mar 30 06:20:51 UTC 2024","Sat Mar 30 06:20:54 UTC 2024","3036","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Sat Mar 30 02:38:06 UTC 2024","Sat Mar 30 02:38:22 UTC 2024","16053","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Mar 30 06:20:19 UTC 2024","Sat Mar 30 06:20:23 UTC 2024","4459","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sat Mar 30 03:48:07 UTC 2024","Sat Mar 30 03:48:08 UTC 2024","364","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Mar 30 04:38:55 UTC 2024","Sat Mar 30 04:39:00 UTC 2024","4923","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sat Mar 30 03:12:11 UTC 2024","Sat Mar 30 03:12:32 UTC 2024","21145","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Mar 30 06:19:58 UTC 2024","Sat Mar 30 06:20:12 UTC 2024","14483","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sat Mar 30 02:43:04 UTC 2024","Sat Mar 30 02:44:03 UTC 2024","58672","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sat Mar 30 03:43:52 UTC 2024","Sat Mar 30 03:44:09 UTC 2024","17557","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Mar 30 06:03:34 UTC 2024","Sat Mar 30 06:03:44 UTC 2024","9707","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Mar 30 06:23:17 UTC 2024","Sat Mar 30 06:24:30 UTC 2024","72395","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sat Mar 30 02:56:14 UTC 2024","Sat Mar 30 02:56:29 UTC 2024","14456","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Mar 30 06:22:31 UTC 2024","Sat Mar 30 06:22:36 UTC 2024","5494","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sat Mar 30 03:40:25 UTC 2024","Sat Mar 30 03:41:21 UTC 2024","55243","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"failed","Sat Mar 30 04:11:38 UTC 2024","Sat Mar 30 04:14:08 UTC 2024","150421","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Mar 30 04:38:38 UTC 2024","Sat Mar 30 04:38:54 UTC 2024","15761","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Mar 30 03:44:22 UTC 2024","Sat Mar 30 03:44:32 UTC 2024","9955","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Mar 30 06:20:12 UTC 2024","Sat Mar 30 06:20:19 UTC 2024","6399","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Sat Mar 30 02:37:01 UTC 2024","Sat Mar 30 02:37:01 UTC 2024","27","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sat Mar 30 06:06:23 UTC 2024","Sat Mar 30 06:06:34 UTC 2024","10818","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sat Mar 30 05:05:45 UTC 2024","Sat Mar 30 05:05:56 UTC 2024","11332","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Mar 30 02:59:59 UTC 2024","Sat Mar 30 03:00:11 UTC 2024","11129","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sat Mar 30 02:42:39 UTC 2024","Sat Mar 30 02:42:58 UTC 2024","19006","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sat Mar 30 04:14:08 UTC 2024","Sat Mar 30 04:14:37 UTC 2024","28381","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Mar 30 02:59:59 UTC 2024","Sat Mar 30 02:59:59 UTC 2024","147","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sat Mar 30 02:56:36 UTC 2024","Sat Mar 30 02:56:41 UTC 2024","5382","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Mar 30 03:00:11 UTC 2024","Sat Mar 30 03:00:11 UTC 2024","613","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
